date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1986-03-13,28.0,29.25,25.5,25.5,3582600,0.0613850447188531,0.0641254485009447,0.0559042371546697,0.0559042371546697,1031788800,0.0,1.0
1986-03-14,29.0,29.5,28.0,28.0,1070000,0.0635773677445264,0.064673529257363,0.0613850447188531,0.0613850447188531,308160000,0.0,1.0
1986-03-17,29.5,29.75,29.0,29.0,462400,0.064673529257363,0.0652216100137814,0.0635773677445264,0.0635773677445264,133171200,0.0,1.0
1986-03-18,28.75,29.75,28.5,29.5,235300,0.063029286988108,0.0652216100137814,0.0624812062316897,0.064673529257363,67766400,0.0,1.0
1986-03-19,28.25,29.0,28.0,28.75,166300,0.0619331254752714,0.0635773677445264,0.0613850447188531,0.063029286988108,47894400,0.0,1.0
1986-03-20,27.5,28.25,27.25,28.25,202900,0.0602888832060164,0.0619331254752714,0.0597408024495981,0.0619331254752714,58435200,0.0,1.0
1986-03-21,26.75,28.0,26.25,27.5,208300,0.0586446409367614,0.0613850447188531,0.0575484794239247,0.0602888832060164,59990400,0.0,1.0
1986-03-24,26.0,26.75,25.75,26.75,226700,0.0570003986675064,0.0586446409367614,0.0564523179110881,0.0586446409367614,65289600,0.0,1.0
1986-03-25,26.5,26.5,25.75,26.0,111400,0.0580965601803431,0.0580965601803431,0.0564523179110881,0.0570003986675064,32083200,0.0,1.0
1986-03-26,27.25,27.5,26.25,26.5,79000,0.0597408024495981,0.0602888832060164,0.0575484794239247,0.0580965601803431,22752000,0.0,1.0
1986-03-27,27.75,27.75,27.25,27.25,58500,0.0608369639624347,0.0608369639624347,0.0597408024495981,0.0597408024495981,16848000,0.0,1.0
1986-03-31,27.5,27.75,27.0,27.75,44700,0.0602888832060164,0.0608369639624347,0.0591927216931797,0.0608369639624347,12873600,0.0,1.0
1986-04-01,27.25,27.5,27.25,27.5,38500,0.0597408024495981,0.0602888832060164,0.0597408024495981,0.0602888832060164,11088000,0.0,1.0
1986-04-02,27.5,28.0,27.25,27.25,93800,0.0602888832060164,0.0613850447188531,0.0597408024495981,0.0597408024495981,27014400,0.0,1.0
1986-04-03,27.75,28.5,27.75,27.75,80000,0.0608369639624347,0.0624812062316897,0.0608369639624347,0.0608369639624347,23040000,0.0,1.0
1986-04-04,27.75,28.0,27.75,27.75,92300,0.0608369639624347,0.0613850447188531,0.0608369639624347,0.0608369639624347,26582400,0.0,1.0
1986-04-07,27.25,28.0,26.75,27.75,57500,0.0597408024495981,0.0613850447188531,0.0586446409367614,0.0608369639624347,16560000,0.0,1.0
1986-04-08,27.5,28.0,27.25,27.25,35600,0.0602888832060164,0.0613850447188531,0.0597408024495981,0.0597408024495981,10252800,0.0,1.0
1986-04-09,28.0,28.25,27.5,27.5,42200,0.0613850447188531,0.0619331254752714,0.0602888832060164,0.0602888832060164,12153600,0.0,1.0
1986-04-10,28.25,28.5,27.5,28.0,48200,0.0619331254752714,0.0624812062316897,0.0602888832060164,0.0613850447188531,13881600,0.0,1.0
1986-04-11,28.75,29.25,28.5,28.5,59800,0.063029286988108,0.0641254485009447,0.0624812062316897,0.0624812062316897,17222400,0.0,1.0
1986-04-14,29.0,29.25,28.75,28.75,42200,0.0635773677445264,0.0641254485009447,0.063029286988108,0.063029286988108,12153600,0.0,1.0
1986-04-15,29.0,29.0,28.0,29.0,32300,0.0635773677445264,0.0635773677445264,0.0613850447188531,0.0635773677445264,9302400,0.0,1.0
1986-04-16,30.0,30.25,28.75,29.0,110800,0.0657696907701997,0.066317771526618,0.063029286988108,0.0635773677445264,31910400,0.0,1.0
1986-04-17,30.25,30.25,30.0,30.0,76400,0.066317771526618,0.066317771526618,0.0657696907701997,0.0657696907701997,22003200,0.0,1.0
1986-04-18,29.25,30.25,29.0,30.25,75100,0.0641254485009447,0.066317771526618,0.0635773677445264,0.066317771526618,21628800,0.0,1.0
1986-04-21,29.25,29.5,28.5,29.25,79600,0.0641254485009447,0.064673529257363,0.0624812062316897,0.0641254485009447,22924800,0.0,1.0
1986-04-22,28.75,29.25,28.75,29.25,54000,0.063029286988108,0.0641254485009447,0.063029286988108,0.0641254485009447,15552000,0.0,1.0
1986-04-23,28.87,29.0,28.5,28.75,54200,0.0632923657511889,0.0635773677445264,0.0624812062316897,0.063029286988108,15609600,0.0,1.0
1986-04-24,31.75,32.25,28.75,28.87,216500,0.069606256065128,0.0707024175779647,0.063029286988108,0.0632923657511889,62352000,0.0,1.0
1986-04-25,33.75,35.13,32.0,32.0,297900,0.0739909021164747,0.0770163078919038,0.0701543368215463,0.0701543368215463,85795200,0.0,1.0
1986-04-28,34.0,34.25,33.5,33.75,100300,0.074538982872893,0.0750870636293113,0.0734428213600563,0.0739909021164747,28886400,0.0,1.0
1986-04-29,33.0,34.0,32.75,34.0,105300,0.0723466598472197,0.074538982872893,0.0717985790908013,0.074538982872893,30326400,0.0,1.0
1986-04-30,32.25,33.25,31.5,33.0,107300,0.0707024175779647,0.072894740603638,0.0690581753087097,0.0723466598472197,30902400,0.0,1.0
1986-05-01,31.75,32.25,31.25,32.25,188700,0.069606256065128,0.0707024175779647,0.0685100945522914,0.0707024175779647,54345600,0.0,1.0
1986-05-02,31.75,32.25,31.5,31.75,70300,0.069606256065128,0.0707024175779647,0.0690581753087097,0.069606256065128,20246400,0.0,1.0
1986-05-05,31.5,31.75,31.5,31.75,11300,0.0690581753087097,0.069606256065128,0.0690581753087097,0.069606256065128,3254400,0.0,1.0
1986-05-06,31.75,32.25,31.75,31.75,33800,0.069606256065128,0.0707024175779647,0.069606256065128,0.069606256065128,9734400,0.0,1.0
1986-05-07,31.75,32.0,31.25,31.75,17900,0.069606256065128,0.0701543368215463,0.0685100945522914,0.069606256065128,5155200,0.0,1.0
1986-05-08,32.0,32.0,31.5,31.75,12300,0.0701543368215463,0.0701543368215463,0.0690581753087097,0.069606256065128,3542400,0.0,1.0
1986-05-09,31.75,32.0,31.75,32.0,21100,0.069606256065128,0.0701543368215463,0.069606256065128,0.0701543368215463,6076800,0.0,1.0
1986-05-12,32.0,32.75,31.75,31.75,36400,0.0701543368215463,0.0717985790908013,0.069606256065128,0.069606256065128,10483200,0.0,1.0
1986-05-13,32.25,32.5,32.0,32.0,13300,0.0707024175779647,0.071250498334383,0.0701543368215463,0.0701543368215463,3830400,0.0,1.0
1986-05-14,32.0,32.25,32.0,32.25,32300,0.0701543368215463,0.0707024175779647,0.0701543368215463,0.0707024175779647,9302400,0.0,1.0
1986-05-15,32.0,32.5,32.0,32.0,13200,0.0701543368215463,0.071250498334383,0.0701543368215463,0.0701543368215463,3801600,0.0,1.0
1986-05-16,32.25,33.0,32.0,32.0,41500,0.0707024175779647,0.0723466598472197,0.0701543368215463,0.0701543368215463,11952000,0.0,1.0
1986-05-19,31.75,32.25,31.5,32.25,38200,0.069606256065128,0.0707024175779647,0.0690581753087097,0.0707024175779647,11001600,0.0,1.0
1986-05-20,31.5,31.75,31.25,31.75,215200,0.0690581753087097,0.069606256065128,0.0685100945522914,0.069606256065128,61977600,0.0,1.0
1986-05-21,31.0,31.75,31.0,31.5,28100,0.067962013795873,0.069606256065128,0.067962013795873,0.0690581753087097,8092800,0.0,1.0
1986-05-22,31.0,31.25,31.0,31.0,15300,0.067962013795873,0.0685100945522914,0.067962013795873,0.067962013795873,4406400,0.0,1.0
1986-05-23,31.0,31.5,31.0,31.0,14200,0.067962013795873,0.0690581753087097,0.067962013795873,0.067962013795873,4089600,0.0,1.0
1986-05-27,32.0,32.0,31.0,31.0,48200,0.0701543368215463,0.0701543368215463,0.067962013795873,0.067962013795873,13881600,0.0,1.0
1986-05-28,33.0,33.0,32.0,32.0,53900,0.0723466598472197,0.0723466598472197,0.0701543368215463,0.0701543368215463,15523200,0.0,1.0
1986-05-29,33.75,34.25,32.75,33.0,158600,0.0739909021164747,0.0750870636293113,0.0717985790908013,0.0723466598472197,45676800,0.0,1.0
1986-05-30,35.0,35.5,34.0,34.0,94000,0.0767313058985663,0.077827467411403,0.074538982872893,0.074538982872893,27072000,0.0,1.0
1986-06-02,34.0,35.0,34.0,35.0,68500,0.074538982872893,0.0767313058985663,0.074538982872893,0.0767313058985663,19728000,0.0,1.0
1986-06-03,34.0,34.0,33.5,34.0,17400,0.074538982872893,0.074538982872893,0.0734428213600563,0.074538982872893,5011200,0.0,1.0
1986-06-04,33.75,34.25,33.5,34.0,16400,0.0739909021164747,0.0750870636293113,0.0734428213600563,0.074538982872893,4723200,0.0,1.0
1986-06-05,34.25,34.25,33.5,33.75,47600,0.0750870636293113,0.0750870636293113,0.0734428213600563,0.0739909021164747,13708800,0.0,1.0
1986-06-06,34.25,34.25,33.75,34.25,11900,0.0750870636293113,0.0750870636293113,0.0739909021164747,0.0750870636293113,3427200,0.0,1.0
1986-06-09,32.75,34.25,32.75,34.25,44000,0.0717985790908013,0.0750870636293113,0.0717985790908013,0.0750870636293113,12672000,0.0,1.0
1986-06-10,32.75,32.75,32.25,32.75,11900,0.0717985790908013,0.0717985790908013,0.0707024175779647,0.0717985790908013,3427200,0.0,1.0
1986-06-11,32.75,32.75,32.25,32.75,8000,0.0717985790908013,0.0717985790908013,0.0707024175779647,0.0717985790908013,2304000,0.0,1.0
